text,author,likes,replyCount,cleaned_text
"I still remembered seeing the part where Seth banged into Jules' face back when the trailer was first shown on TV many years ago. I didn't really care about it then, but just today, I was bored and decided to check this film out. So it was kinda cool to see this again after all these years, even though I had no idea till today that it came from this movie lol.  Also, having Emma Stone in anything is always a plus.",@RaymondJiang444,12,0,i still remembered seeing the part where seth banged into jules face back when the trailer was first shown on tv many years ago i didnt really care about it then but just today i was bored and decided to check this film out so it was kinda cool to see this again after all these years even though i had no idea till today that it came from this movie lol  also having emma stone in anything is always a plus
jonah hill dated my step aunt,@lila_kathryn53,1,0,jonah hill dated my step aunt
Jonah hill went from this to being an academy award nominee 😍😍😍,@ilovemybrothers8637,105,2,jonah hill went from this to being an academy award nominee smiling_face_with_heart-eyessmiling_face_with_heart-eyessmiling_face_with_heart-eyes
1:05 - 1:16 someone please pick me off the floor 😂😂😂😂😂,@danielmacharia9808,0,0,   someone please pick me off the floor face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
So this is Good Boys sequel,@fajarkurniawan9434,2,1,so this is good boys sequel
"2019 watch again  ,not bored at all",@santananicky,2,0, watch again  not bored at all
This movie will always be a classic.,@xenobestx8423,125,0,this movie will always be a classic
Why the hell is this in my recommendation,@arianasdiamonds,0,0,why the hell is this in my recommendation
can u tell whats ur fav. sseth rogen movie?,@arpitsrivstva,0,0,can u tell whats ur fav sseth rogen movie
I got the good boys add before watching this,@ava8992,2,0,i got the good boys add before watching this
"what a classic, notice how it didnt say ""will become a classic"" movies these days that say that most definitely will NOT become a classic",@sks220,25,0,what a classic notice how it didnt say will become a classic movies these days that say that most definitely will not become a classic
Good boys i wayyy better,@clairemonington9606,0,0,good boys i wayyy better
Came here before watching good boys,@bradsuarez2683,5,0,came here before watching good boys
"Came here after watching ""Good Boys""",@m.alamri9277,38,2,came here after watching good boys
How do these guys live with each other??? 😂,@alicelu5691,0,0,how do these guys live with each other face_with_tears_of_joy
I wish there was a Superbad 2..,@rashanehaye869,12,2,i wish there was a superbad 
African Jew wearing a black hoodie,@allycatg9000,1,0,african jew wearing a black hoodie
Ending scenes were the best,@Whitsahhere,18,0,ending scenes were the best
African Jew wearing a hoodie,@chocktaebolanca757,989,8,african jew wearing a hoodie
Google Shows that this is the best comedy movie 😀,@globalmovies3471,3,0,google shows that this is the best comedy movie grinning_face
