text,author,likes,replyCount,cleaned_text
"Looks great, go for it Mister President, i like your vision.",@----jiz7048,1,0,looks great go for it mister president i like your vision
Trump will take over Gaza,@JK_87606,0,0,trump will take over gaza
America is on  autopilot mode,@l2sunshine173,2,0,america is on  autopilot mode
why do the women have full beards?,@juanrichel6171,1,0,why do the women have full beards
Why do the female dancers at 00:15 have beards? This can only mean two things: either the Trump guys have secretly a heart for trans people  or this video has been assembled with the same meticulous care for detail typical for all of Trump's actions.,@mikeyanagita5469,0,1,why do the female dancers at  have beards this can only mean two things either the trump guys have secretly a heart for trans people  or this video has been assembled with the same meticulous care for detail typical for all of trumps actions
0:14 these women have beards... or better said men heads.,@DontKnow-hr5my,0,0, these women have beards or better said men heads
"OMG, I LOVE IT!!! ❤😂❤😂",@Shineon83,1,0,omg i love it red_heartface_with_tears_of_joyred_heartface_with_tears_of_joy
Does he have dementia??,@tytyguy1able,1,0,does he have dementia
Guardian Chief editor had a meeting with top I D F  staff one month into the  G E N O C I D E. Guardian = controlled opposition. Boycott Gaurdian.,@Felix-s9z7i,0,0,guardian chief editor had a meeting with top i d f  staff one month into the  g e n o c i d e guardian  controlled opposition boycott gaurdian
And people thought that King George III was mad?,@keithryder6978,0,0,and people thought that king george iii was mad
The song and ad is awesome!,@DesertEagle530,2,0,the song and ad is awesome
"0:20-0:21 and one more thing,WHAT IS THIS?!?!",@amirizzuddin5368,0,0, and one more thingwhat is this
"My deepest, heartfelt sympathy .... for those who don't get the joke.  Reading the comment section you have to wonder how much of it is self projection...",@alainvosselman9960,3,0,my deepest heartfelt sympathy  for those who dont get the joke  reading the comment section you have to wonder how much of it is self projection
